Apartment Name,Short Description,Guest Number,Bedroom Number,Bed Number,Bath Number,Price per Night,Host Name,Account Active Since
Fira by Gaiarooms - Studio Double,"Entire rental unit in Barcelona, Spain",2,1,1,1,€ 371 ,Hosted by Cerberu,3 months hosting
Montserrat by Gaiarooms - 1 Bedroom Apartment,"Entire rental unit in Barcelona, Spain",3,1,1,1,€ 379 ,Hosted by Cerberu,3 months hosting
33mall810- Big 2br apartment near Sagrada Familia,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
42mall813,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
41mall812-Nice 2br flat in the city center,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Entlo2FH- Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Axel City Doble with Breakfasts - 2 Pax,"Room in bed and breakfast in Barcelona, Spain",2,1,1,1,€ 270 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
"© 30min⇨Barcelona, groups&families, AC beach house","Entire home in Premià de Mar, Spain",14,5,10,3.5,€ 467 ,Hosted by Xavier,7 years hosting
ob21 Great 2 bedroom apartment close Las Ramblas,"Entire rental unit in Barcelona, Spain",5,2,3,1,€ 297 ,Hosted by Acomodis Apartments,12 years hosting
I'm so an apartment,"Entire rental unit in Premià de Mar, Spain",4,2,2,1,€ 175 ,Hosted by Houssain,2 years hosting
Montserrat Apartments by Gaiarooms - Estudio,"Entire rental unit in Barcelona, Spain",4,1,1,1,€ 343 ,Hosted by Cerberu,3 months hosting
"© 30min⇨Barcelona, groups&families, AC beach house","Entire home in Premià de Mar, Spain",14,5,10,3.5,€ 467 ,Hosted by Xavier,7 years hosting
Axel City Doble with Breakfasts - 2 Pax,"Room in bed and breakfast in Barcelona, Spain",2,1,1,1,€ 270 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
ob21 Great 2 bedroom apartment close Las Ramblas,"Entire rental unit in Barcelona, Spain",5,2,3,1,€ 297 ,Hosted by Acomodis Apartments,12 years hosting
I'm so an apartment,"Entire rental unit in Premià de Mar, Spain",4,2,2,1,€ 175 ,Hosted by Houssain,2 years hosting
33par- Stunning new apartment,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,500 ",Hosted by Loca Bcn, · 11 years hosting
Montserrat Apartments by Gaiarooms - Estudio,"Entire rental unit in Barcelona, Spain",4,1,1,1,€ 343 ,Hosted by Cerberu,3 months hosting
Quiet interior room with hotel amenities,"Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 274 ,Hosted by Vincci Mae,4 months hosting
Can cruspinera,"Entire villa in Tiana, Spain",10,6,6,5,€ 800 ,Hosted by Zhi,2 years hosting
fnt8 Nice stay in Barcelona Poble Sec old town!,"Entire rental unit in Barcelona, Spain",6,2,5,1.5,€ 299 ,Hosted by Acomodis Apartments,12 years hosting
Quadruple Room with private bathroom,"Private room in hostel in Barcelona, Spain",4,1,4,1,€ 295 ,Hosted by Free Hostels,10 years hosting
2 bedrooms in cheerful house with fireplace,"Room in Torrelles de Llobregat, Spain",Not specified,2,2,Shared,€ 165 ,Stay with Martin,1 year hosting
Apartamento toko,"Entire rental unit in Barcelona, Spain",3,2,Not specified,2,€ 250 ,Hosted by Diana,1 month hosting
pr3mall822- Super Bright 2BR near Sagrada Familia,"Entire rental unit in Barcelona, Spain",4,2,2,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
pr4mall823,"Entire rental unit in Barcelona, Spain",4,2,Not specified,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
31fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
43Apar- Newly refurbished in BCN,"Entire rental unit in Barcelona, Spain",4,2,3,2,"€ 1,500 ",Hosted by Loca Bcn, · 11 years hosting
32fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Axel Premium - 1 Pax,"Room in boutique hotel in Barcelona, Spain",1,1,1,1,€ 255 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
22fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
"Historic ‘hood, free WiFi & seasonal cafe","Room in hotel in Barcelona, Spain",2,1,Not specified,1,€ 324 ,Hosted by Ramblas Hotel Powered By Vincc, · 2 months hosting
Spot-on location for Gaudi sights & Plaza Cataluña,"Room in hotel in Barcelona, Spain",3,1,Not specified,1,€ 519 ,Hosted by Ocean Drive Barcelona,2 months hosting
Room in center R1,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 300 ,Stay with Pedro,2 years hosting
-  WIND - Comfortable sailboat in Barcelona,"Boat in Barcelona, Spain",5,3,4,Half-bath,€ 199 ,Hosted by Joan,4 years hosting
"ar11 Great 3 bedroom ""Acomodis"" apartment El Born!","Entire rental unit in Barcelona, Spain",5,3,4,1,€ 326 ,Hosted by Acomodis Apartments,12 years hosting
ar12 Great 3 bedroom Acomodis apartment El Born!,"Entire rental unit in Barcelona, Spain",4,3,4,1,€ 306 ,Hosted by Acomodis Apartments,12 years hosting
Liceu by Gaiarooms - Apartamento Estudio,"Entire rental unit in Barcelona, Spain",3,1,1,1,€ 379 ,Hosted by Cerberu,3 months hosting
perfectly equipped duplex,"Room in Sabadell, Spain",Not specified,2,4,Shared,Price not specified,Stay with Camilo,3 months hosting
Twin room with sofa bed,"Room in hotel in Barcelona, Spain",3,1,3,1,€ 303 ,Hosted by SmartRoom,6 years hosting
"Private home mountain home, pets yes","Entire condo in Matadepera, Spain",4,Not specified,4,1,€ 128 ,Hosted by Tessa,9 years hosting
Amazing luxury Villa | Bbq | Jacuzzi & Pool,"Entire home in Cabrils, Spain",10,5,5,3,"€ 1,668 ",Hosted by Adrian, · 1 year hosting
"fnt2 Exclusive apartment, nice location old town!","Entire rental unit in Barcelona, Spain",6,2,5,1,€ 303 ,Hosted by Acomodis Apartments,12 years hosting
"fdl5 In Barcelona! right in El Born, old town!","Entire rental unit in Barcelona, Spain",6,3,5,1,€ 367 ,Hosted by Acomodis Apartments,12 years hosting
Luxury Housing in Barcelona with Private Club,"Entire home in Barcelona, Spain",14,4,4,3.5,"€ 1,020 ",Hosted by Santa Marta,7 years hosting
Axel Premium with Breakfasts - 1 Pax,"Room in hotel in Barcelona, Spain",1,1,1,1,€ 270 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
Axel Premium Superior - 1 Pax,"Room in boutique hotel in Barcelona, Spain",1,1,1,1,€ 280 ,Hosted by Two Hotel Barcelona - Adults Only,6 years hosting
BJ1FH- Fantastic 1 BR Flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Casa Castelldefels Playa y  Piscina HUTB-014348,"Entire home in Castelldefels, Spain",10,5,6,3,€ 464 ,Hosted by Sergio,9 years hosting
Fira by Gaiarooms - 2 bedroom apartment,"Entire rental unit in Barcelona, Spain",4,2,4,1,€ 423 ,Hosted by Cerberu,3 months hosting
"Farmhouse near Barcelona, 1 bedroom, swimming pool","Room in Corbera de Llobregat, Spain",Not specified,Not specified,3,Dedicated,€ 195 ,Hosted by Antonio Y Maria Rosa,3 years hosting
ar14 El Born Happy Guests-Tapas St 2 bedroom flat!,"Entire rental unit in Barcelona, Spain",4,2,2,1,€ 336 ,Hosted by Acomodis Apartments,12 years hosting
B-2 Connection Airport & Center!,"Entire rental unit in L'Hospitalet de Llobregat, Spain",2,1,1,1,€ 306 ,Hosted by Rey,7 years hosting
Superior room with breakfast,"Private room in bed and breakfast in Barcelona, Spain",2,1,1,1,Price not specified,Hosted by Cristina,2 months hosting
Campervan for 3 BCN3,"Camper/RV in Barcelona, Spain",2,2,1,0,€ 65 ,Hosted by Mic,9 years hosting
1 bed in a 5-bed mixed dorm at Sleep Green Y.H,"Room in Barcelona, Spain",Not specified,Not specified,5,4,€ 87 ,Hosted by Alvand,8 years hosting
Relax near Barcelona,"Houseboat in Sitges, Spain",2,Not specified,4,1,Price not specified,Hosted by Jordi,2 months hosting
21fh - Beautiful 1BR flat,"Entire rental unit in Barcelona, Spain",2,1,1,1,"€ 1,000 ",Hosted by Mercantil Brescia, · 2 months hosting
Cozy house with back garden 30 min from Barcelona,"Room in Martorell, Spain",Not specified,Not specified,1,Shared,€ 315 ,Hosted by Noelia,4 years hosting
Suite large room with bathroom inside in center,"Room in Barcelona, Spain",Not specified,Not specified,1,Private,€ 180 ,Hosted by Miranda,8 years hosting
vill412 Great 2 bedr flat 1 bathr next city center,"Entire rental unit in Barcelona, Spain",4,2,4,1,€ 454 ,Hosted by Acomodis Apartments,12 years hosting
Private apartm in luxury chalet BCN,"Entire condo in Matadepera, Spain",4,1,2,1,€ 128 ,Hosted by Tessa,9 years hosting
BARCELONA| NICE AND SPACIOUS| BALCONY¤,"Entire rental unit in Barcelona, Spain",4,2,3,1,"€ 1,500 ",Hosted by Stay U-Nique,11 years hosting
Cal Padri 1871,"Entire home in Premià de Mar, Spain",14,5,10,3,€ 389 ,Hosted by Holidu,3 months hosting
Bright Floor in a Beautiful Neighborhood,"Entire rental unit in Santa Coloma de Gramenet, Spain",5,3,3,1.5,€ 125 ,Hosted by Karen,5 years hosting
Beautiful and bright penthouse in downtown Hospitalet,"Entire rental unit in L'Hospitalet de Llobregat, Spain",3,1,Not specified,1.5,€ 150 ,Hosted by Nuria,1 year hosting
Beautiful and bright penthouse in downtown Hospitalet,"Entire rental unit in L'Hospitalet de Llobregat, Spain",3,1,Not specified,1.5,€ 150 ,Hosted by Nuria,1 year hosting
43Bpar - New flat in Paralelo,"Entire rental unit in Barcelona, Spain",4,3,3,1,"€ 1,200 ",Hosted by Loca Bcn, · 11 years hosting
1 bed in a 4-bed mixed dorm at Sleep Green Y.H,"Room in Barcelona, Spain",Not specified,Not specified,6,4,€ 89 ,Hosted by Alvand,8 years hosting
Comfortable room in the centre,"Room in Barcelona, Spain",Not specified,1,Not specified,Shared,€ 169 ,Stay with Morge,2 years hosting
sf12a Great 2 Bedr Acomodis Flat Sagrada Familia,"Entire rental unit in Barcelona, Spain",5,2,5,1,€ 310 ,Hosted by Acomodis Apartments,12 years hosting
Camper for Rent in Barcelona,"Camper/RV in Barcelona, Spain",2,1,Not specified,Half-bath,€ 76 ,Hosted by Ricardo,5 years hosting
"ar22 Cute 3 bedroom ""Acomodis"" apartment El Born!","Entire rental unit in Barcelona, Spain",4,3,4,1,€ 330 ,Hosted by Acomodis Apartments,12 years hosting
Beautiful waterfront refurbished home,"Entire home in Premià de Mar, Spain",5,2,3,1,€ 162 ,Hosted by Lara,11 months hosting
camper love,"Camper/RV in Sabadell, Spain",3,1,1,1,€ 64 ,Hosted by Tania,11 months hosting
Double room with pool,"Room in Vilassar de Mar, Spain",Not specified,Not specified,1,Shared,€ 50 ,Stay with Juan,9 months hosting
"pdo4 City center, Nice stay in Barcelona Gothic!","Entire rental unit in Barcelona, Spain",6,2,4,1,€ 389 ,Hosted by Acomodis Apartments,12 years hosting
hprh1 Great 3 bedr 2 bathr flat close Port-Ramblas,"Entire rental unit in Barcelona, Spain",6,3,4,2,€ 600 ,Hosted by Acomodis Apartments,12 years hosting
House just 5 minutes from the beach.,"Entire home in Castelldefels, Spain",5,2,3,2,€ 276 ,Hosted by Pilar,5 years hosting
roc Great 8 bedrooms 4 bathr Groupflat L'Eixample,"Entire rental unit in Barcelona, Spain",14,8,11,4,"€ 1,554 ",Hosted by Acomodis Apartments,12 years hosting
"sfa1 A NICE ""ACOMODIS"" PENTHOUSE SAGRADA FAMILIA!!","Entire rental unit in Barcelona, Spain",4,1,3,1,€ 279 ,Hosted by Acomodis Apartments,12 years hosting
Sabadell camper Rental,"Camper/RV in Sabadell, Spain",2,1,1,1,€ 96 ,Hosted by Tania,11 months hosting
pdo6 Acomodis apartments right in the Gothic area!,"Entire rental unit in Barcelona, Spain",6,2,4,1,€ 387 ,Hosted by Acomodis Apartments,12 years hosting
Can Ginesta Fel&tranquilo,"Entire home in Vallromanes, Spain",6,2,3,1,€ 188 ,Hosted by My Grupdor SL,9 months hosting
